"auth_id","user_id","entre_id","fact_id","enable"
UID030E001_35080,UID030,E001_3,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID030E001_45080,UID030,E001_4,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID030E001_12150,UID030,E001_1,HnYkFQt4R4O2Z8vhXu_89g,Y
UID030E001_22150,UID030,E001_2,HnYkFQt4R4O2Z8vhXu_89g,Y
UID030E001_32150,UID030,E001_3,HnYkFQt4R4O2Z8vhXu_89g,Y
UID030E001_42150,UID030,E001_4,HnYkFQt4R4O2Z8vhXu_89g,Y
UID030E001_12151,UID030,E001_1,R0gPBhnSQ5aknFY32qqbTQ,Y
UID030E001_22151,UID030,E001_2,R0gPBhnSQ5aknFY32qqbTQ,Y
UID030E001_32151,UID030,E001_3,R0gPBhnSQ5aknFY32qqbTQ,Y
UID030E001_42151,UID030,E001_4,R0gPBhnSQ5aknFY32qqbTQ,Y
UID030E001_15000,UID030,E001_1,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID030E001_25000,UID030,E001_2,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID030E001_35000,UID030,E001_3,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID030E001_45000,UID030,E001_4,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID030E001_16030,UID030,E001_1,"97wdRZ89Q3ypSOwfEah9lA",Y
UID030E001_26030,UID030,E001_2,"97wdRZ89Q3ypSOwfEah9lA",Y
UID030E001_36030,UID030,E001_3,"97wdRZ89Q3ypSOwfEah9lA",Y
UID030E001_46030,UID030,E001_4,"97wdRZ89Q3ypSOwfEah9lA",Y
UID030E001_12070,UID030,E001_1,wMusebC4R4i3HKNLOrHtbA,Y
UID030E001_22070,UID030,E001_2,wMusebC4R4i3HKNLOrHtbA,Y
UID030E001_32070,UID030,E001_3,wMusebC4R4i3HKNLOrHtbA,Y
UID030E001_42070,UID030,E001_4,wMusebC4R4i3HKNLOrHtbA,Y
UID032E001_15010,UID032,E001_1,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID032E001_25010,UID032,E001_2,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID032E001_35010,UID032,E001_3,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID032E001_45010,UID032,E001_4,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID032E001_15080,UID032,E001_1,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID032E001_25080,UID032,E001_2,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID032E001_35080,UID032,E001_3,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID032E001_45080,UID032,E001_4,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID032E001_12150,UID032,E001_1,HnYkFQt4R4O2Z8vhXu_89g,Y
UID032E001_22150,UID032,E001_2,HnYkFQt4R4O2Z8vhXu_89g,Y
UID032E001_32150,UID032,E001_3,HnYkFQt4R4O2Z8vhXu_89g,Y
UID032E001_42150,UID032,E001_4,HnYkFQt4R4O2Z8vhXu_89g,Y
UID032E001_12151,UID032,E001_1,R0gPBhnSQ5aknFY32qqbTQ,Y
UID032E001_22151,UID032,E001_2,R0gPBhnSQ5aknFY32qqbTQ,Y
UID032E001_32151,UID032,E001_3,R0gPBhnSQ5aknFY32qqbTQ,Y
UID032E001_42151,UID032,E001_4,R0gPBhnSQ5aknFY32qqbTQ,Y
UID032E001_15000,UID032,E001_1,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID032E001_25000,UID032,E001_2,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID032E001_35000,UID032,E001_3,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID032E001_45000,UID032,E001_4,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID032E001_16030,UID032,E001_1,"97wdRZ89Q3ypSOwfEah9lA",Y
UID032E001_26030,UID032,E001_2,"97wdRZ89Q3ypSOwfEah9lA",Y
UID032E001_36030,UID032,E001_3,"97wdRZ89Q3ypSOwfEah9lA",Y
UID032E001_46030,UID032,E001_4,"97wdRZ89Q3ypSOwfEah9lA",Y
UID032E001_12070,UID032,E001_1,wMusebC4R4i3HKNLOrHtbA,Y
UID032E001_22070,UID032,E001_2,wMusebC4R4i3HKNLOrHtbA,Y
UID032E001_32070,UID032,E001_3,wMusebC4R4i3HKNLOrHtbA,Y
UID032E001_42070,UID032,E001_4,wMusebC4R4i3HKNLOrHtbA,Y
UID032E0015010,UID032,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID034E001_42151,UID034,E001_4,R0gPBhnSQ5aknFY32qqbTQ,Y
UID034E001_32151,UID034,E001_3,R0gPBhnSQ5aknFY32qqbTQ,Y
UID034E001_22151,UID034,E001_2,R0gPBhnSQ5aknFY32qqbTQ,Y
UID034E001_12151,UID034,E001_1,R0gPBhnSQ5aknFY32qqbTQ,Y
UID034E001_42150,UID034,E001_4,HnYkFQt4R4O2Z8vhXu_89g,Y
UID034E001_32150,UID034,E001_3,HnYkFQt4R4O2Z8vhXu_89g,Y
UID034E001_22150,UID034,E001_2,HnYkFQt4R4O2Z8vhXu_89g,Y
UID034E001_12150,UID034,E001_1,HnYkFQt4R4O2Z8vhXu_89g,Y
UID035E001_42151,UID035,E001_4,R0gPBhnSQ5aknFY32qqbTQ,Y
UID035E001_32151,UID035,E001_3,R0gPBhnSQ5aknFY32qqbTQ,Y
UID035E001_22151,UID035,E001_2,R0gPBhnSQ5aknFY32qqbTQ,Y
UID035E001_12151,UID035,E001_1,R0gPBhnSQ5aknFY32qqbTQ,Y
UID035E001_42150,UID035,E001_4,HnYkFQt4R4O2Z8vhXu_89g,Y
UID035E001_32150,UID035,E001_3,HnYkFQt4R4O2Z8vhXu_89g,Y
UID035E001_22150,UID035,E001_2,HnYkFQt4R4O2Z8vhXu_89g,Y
